"rt","stimulus","response","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","task","correct_response","image","word","congruency","correct"
"2764","
              <p style='color:dodgerblue; font-size:40pt;'>Welcome </p>
              <p style='color:yellow; font-size:40pt;'>to</p>
              <p style='color:red; font-size:40pt;'>the</p>
              <p style='color:teal; font-size:40pt;'>Experiment </p>
              ","0","welcome","html-button-response","0","2764","0.0-0.0","","","","","",""
"986","
        <p>In this task you will be presented with one of <b>four</b> words</p>
        <p> You will also be presented with an image</p>
        <p> The first category is animals. Here is the list of words: <b>dog, cat, duck, fish</b></p>
        <p></p>
    
        <img src='img/duck.jpg'></img>
        <img src='img/cat.jpg'></img>
        <p> Press <b>d</b> , <b>b </b>, <b>f</b>,<b>c</b> for the <b> word </b> on the screen</p>
        <p>E.g., press <b> d </b> for <b> duck </b> </p>
        
        <p>Make your responses as quickly and as accurately as possible</p>
        <p>Press any key to begin.</p>
        ","d","","html-keyboard-response","1","3751","0.0-1.0","","","","","",""
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","2","6763","0.0-2.0-0.0","fixation","","","","",""
"424","
        <p style='color:mediumvioletred; font-size:40pt;'>FISH</p>
        <img src='img/fish.jpg'></img>
        ","d","","html-keyboard-response","3","7188","0.0-2.0-1.0","stroop","f","fish","fish","Congruent","false"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","4","8201","0.0-2.0-0.1","fixation","","","","",""
"1295","
        <p style='color:mediumvioletred; font-size:40pt;'>CAT</p>
        <img src='img/duck.jpg'></img>
        ","c","","html-keyboard-response","5","9497","0.0-2.0-1.1","stroop","c","cat","cat","Congruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","6","11503","0.0-2.0-0.2","fixation","","","","",""
"704","
        <p style='color:mediumvioletred; font-size:40pt;'>CAT</p>
        <img src='img/boat.jpg'></img>
        ","c","","html-keyboard-response","7","12208","0.0-2.0-1.2","stroop","c","boat","cat","Incongruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","8","14218","0.0-2.0-0.3","fixation","","","","",""
"716","
        <p style='color:mediumvioletred; font-size:40pt;'> DUCK</p>
        <img src='img/duck.jpg'></img>
        ","d","","html-keyboard-response","9","14935","0.0-2.0-1.3","stroop","d","duck","duck","Congruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","10","16938","0.0-2.0-0.4","fixation","","","","",""
"951","
        <p style='color:mediumvioletred; font-size:40pt;'>BOAT</p>
        <img src='img/fish.jpg'></img>
        ","b","","html-keyboard-response","11","17890","0.0-2.0-1.4","stroop","b","fish","boat","Incongruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","12","18905","0.0-2.0-0.5","fixation","","","","",""
"759","
        <p style='color:mediumvioletred; font-size:40pt;'>DUCK</p>
        <img src='img/cat.jpg'></img>
        ","d","","html-keyboard-response","13","19664","0.0-2.0-1.5","stroop","d","cat","duck","Incongruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","14","21682","0.0-2.0-0.6","fixation","","","","",""
"776","
        <p style='color:mediumvioletred; font-size:40pt;'>BOAT</p>
        <img src='img/fish.jpg'></img>
        ","b","","html-keyboard-response","15","22458","0.0-2.0-1.6","stroop","b","fish","boat","Incongruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","16","23473","0.0-2.0-0.7","fixation","","","","",""
"820","
        <p style='color:mediumvioletred; font-size:40pt;'> DUCK</p>
        <img src='img/duck.jpg'></img>
        ","d","","html-keyboard-response","17","24293","0.0-2.0-1.7","stroop","d","duck","duck","Congruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","18","26296","0.0-2.0-0.8","fixation","","","","",""
"438","
        <p style='color:mediumvioletred; font-size:40pt;'>DUCK</p>
        <img src='img/cat.jpg'></img>
        ","d","","html-keyboard-response","19","26735","0.0-2.0-1.8","stroop","d","cat","duck","Incongruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","20","28740","0.0-2.0-0.9","fixation","","","","",""
"2852","
        <p style='color:mediumvioletred; font-size:40pt;'>CAT</p>
        <img src='img/duck.jpg'></img>
        ","c","","html-keyboard-response","21","31593","0.0-2.0-1.9","stroop","c","cat","cat","Congruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","22","33608","0.0-2.0-0.10","fixation","","","","",""
"1152","
        <p style='color:mediumvioletred; font-size:40pt;'>CAT</p>
        <img src='img/boat.jpg'></img>
        ","c","","html-keyboard-response","23","34760","0.0-2.0-1.10","stroop","c","boat","cat","Incongruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","24","35769","0.0-2.0-0.11","fixation","","","","",""
"974","
        <p style='color:mediumvioletred; font-size:40pt;'>FISH</p>
        <img src='img/fish.jpg'></img>
        ","f","","html-keyboard-response","25","36743","0.0-2.0-1.11","stroop","f","fish","fish","Congruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","26","38744","0.0-2.0-0.12","fixation","","","","",""
"866","
        <p style='color:mediumvioletred; font-size:40pt;'> DUCK</p>
        <img src='img/duck.jpg'></img>
        ","d","","html-keyboard-response","27","39611","0.0-2.0-1.12","stroop","d","duck","duck","Congruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","28","40621","0.0-2.0-0.13","fixation","","","","",""
"630","
        <p style='color:mediumvioletred; font-size:40pt;'>CAT</p>
        <img src='img/boat.jpg'></img>
        ","c","","html-keyboard-response","29","41251","0.0-2.0-1.13","stroop","c","boat","cat","Incongruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","30","42257","0.0-2.0-0.14","fixation","","","","",""
"984","
        <p style='color:mediumvioletred; font-size:40pt;'>BOAT</p>
        <img src='img/fish.jpg'></img>
        ","b","","html-keyboard-response","31","43241","0.0-2.0-1.14","stroop","b","fish","boat","Incongruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","32","44248","0.0-2.0-0.15","fixation","","","","",""
"732","
        <p style='color:mediumvioletred; font-size:40pt;'>CAT</p>
        <img src='img/duck.jpg'></img>
        ","c","","html-keyboard-response","33","44980","0.0-2.0-1.15","stroop","c","cat","cat","Congruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","34","46987","0.0-2.0-0.16","fixation","","","","",""
"782","
        <p style='color:mediumvioletred; font-size:40pt;'>FISH</p>
        <img src='img/fish.jpg'></img>
        ","f","","html-keyboard-response","35","47769","0.0-2.0-1.16","stroop","f","fish","fish","Congruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","36","49771","0.0-2.0-0.17","fixation","","","","",""
"789","
        <p style='color:mediumvioletred; font-size:40pt;'>DUCK</p>
        <img src='img/cat.jpg'></img>
        ","d","","html-keyboard-response","37","50561","0.0-2.0-1.17","stroop","d","cat","duck","Incongruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","38","51573","0.0-2.0-0.18","fixation","","","","",""
"1380","
        <p style='color:mediumvioletred; font-size:40pt;'>BOAT</p>
        <img src='img/fish.jpg'></img>
        ","b","","html-keyboard-response","39","52952","0.0-2.0-1.18","stroop","b","fish","boat","Incongruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","40","53961","0.0-2.0-0.19","fixation","","","","",""
"629","
        <p style='color:mediumvioletred; font-size:40pt;'>CAT</p>
        <img src='img/duck.jpg'></img>
        ","c","","html-keyboard-response","41","54591","0.0-2.0-1.19","stroop","c","cat","cat","Congruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","42","55592","0.0-2.0-0.20","fixation","","","","",""
"659","
        <p style='color:mediumvioletred; font-size:40pt;'>DUCK</p>
        <img src='img/cat.jpg'></img>
        ","d","","html-keyboard-response","43","56252","0.0-2.0-1.20","stroop","d","cat","duck","Incongruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","44","58264","0.0-2.0-0.21","fixation","","","","",""
"934","
        <p style='color:mediumvioletred; font-size:40pt;'>FISH</p>
        <img src='img/fish.jpg'></img>
        ","f","","html-keyboard-response","45","59198","0.0-2.0-1.21","stroop","f","fish","fish","Congruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","46","60201","0.0-2.0-0.22","fixation","","","","",""
"755","
        <p style='color:mediumvioletred; font-size:40pt;'>CAT</p>
        <img src='img/boat.jpg'></img>
        ","c","","html-keyboard-response","47","60957","0.0-2.0-1.22","stroop","c","boat","cat","Incongruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","48","62972","0.0-2.0-0.23","fixation","","","","",""
"646","
        <p style='color:mediumvioletred; font-size:40pt;'> DUCK</p>
        <img src='img/duck.jpg'></img>
        ","d","","html-keyboard-response","49","63619","0.0-2.0-1.23","stroop","d","duck","duck","Congruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","50","65623","0.0-2.0-0.24","fixation","","","","",""
"850","
        <p style='color:mediumvioletred; font-size:40pt;'>BOAT</p>
        <img src='img/fish.jpg'></img>
        ","b","","html-keyboard-response","51","66474","0.0-2.0-1.24","stroop","b","fish","boat","Incongruent","true"
"null","<div style=""font-size:80px;"">+</div>","null","","html-keyboard-response","52","67484","0.0-2.0-0.25","fixation","","","","",""
